Sr No.,Student Name,Registration No.,Department,University,Degree Level,Country,City,Semester,Section,No. of Pending Courses,Pending Type,Pending Courses Name
1,Carlos Williams,MS25-MST-109,Mathematics,Massachusetts Institute of Technology (MIT),MS,United States,Cambridge,3rd,A,0,All Clear,None
2,Carlos Hassan,PHD22-ME-115,Mechanical Engineering,Stanford University,PhD,United States,Stanford,1st,B,0,All Clear,None
3,Aisha Brown,MPHIL21-SE-098,Software Engineering,National University of Sciences and Technology (NUST),Mphil,Pakistan,Rawalpindi,3rd,B,0,All Clear,None
4,Ahmad Lee,MASTER23-SST-213,Statistics,UNSW Sydney,Master,Australia,Sydney,2nd,D,0,All Clear,None
5,Amit Williams,BS22-PST-222,Psychology,UNSW Sydney,BS,Australia,Canberra,1st,B,0,All Clear,None
6,Anya Johnson,MPHIL25-DA-163,Data Analytics,University of Waterloo,Mphil,Canada,Montreal,6th,B,0,All Clear,None
7,Hamza Lopez,MPHIL21-GD-207,Graphic Design,Indian Institute of Technology (IIT) Bombay,Mphil,India,Chennai,4th,C,0,All Clear,None
8,Rahul Shah,MPHIL22-EST-068,Economics,University of Toronto,Mphil,Canada,Vancouver,4th,D,0,All Clear,None
9,Abdul Lopez,PHD22-PST-131,Psychology,American University of Sharjah,PhD,United Arab Emirates,Sharjah,7th,D,0,All Clear,None
10,Siddharth Das,MS25-BA-120,Business Administration,COMSATS University Islamabad,MS,Pakistan,Islamabad,7th,A,0,All Clear,None
11,Emily Thomas,PHD24-BA-041,Business Administration,United Arab Emirates University,PhD,United Arab Emirates,Al Ain,5th,C,0,All Clear,None
12,Sarah Singh,BS22-ME-139,Mechanical Engineering,University of Alberta,BS,Canada,Vancouver,5th,B,1,Dropped,English Composition
13,Yusuf Williams,MS21-DS-188,Data Science,COMSATS University Islamabad,MS,Pakistan,Karachi,1st,B,0,All Clear,None
14,Amara Schneider,MASTER24-DA-247,Data Analytics,Georgia Institute of Technology,Master,United States,Stanford,3rd,C,0,All Clear,None
15,Liam Wong,MPHIL24-PST-031,Psychology,American University of Sharjah,Mphil,United Arab Emirates,Abu Dhabi,7th,C,0,All Clear,None
16,Ali Johnson,PHD21-EST-059,Economics,Harvard University,PhD,United States,Boston,4th,B,0,All Clear,None
17,Emma Kim,MS22-ME-186,Mechanical Engineering,University of engineering and Technology (UET) Lahore,MS,Pakistan,Lahore,5th,D,1,Not Registered,English Composition
18,Ananya Shah,MASTER21-BA-173,Business Administration,Indian Institute of Technology (IIT) Delhi,Master,India,New Delhi,6th,D,1,Dropped,Professional Ethics
19,Sneha Rodriguez,MS23-MST-119,Mathematics,University of Melbourne,MS,Australia,Canberra,8th,B,0,All Clear,None
20,Olivia Davis,BS24-CS-125,Computer Science,"University of California, Berkeley",BS,United States,Atlanta,1st,A,0,All Clear,None
21,Noah Thomas,BS24-GD-179,Graphic Design,Technical University of Munich,BS,Germany,Heidelberg,7th,C,1,Not Registered,Internship
22,Zahra Al-Farsi,MPHIL25-SST-236,Statistics,University of the Punjab,Mphil,Pakistan,Faisalabad,1st,A,1,Withdraw,English Composition
23,Emily Müller,BS22-EST-149,Economics,Stanford University,BS,United States,Boston,4th,D,0,All Clear,None
24,Emma Kumar,PHD22-BA-068,Business Administration,Universiti Malaya (UM),PhD,Malaysia,Penang,6th,C,0,All Clear,None
25,Zain Kim,BS22-CS-130,Computer Science,University of Waterloo,BS,Canada,Montreal,8th,A,0,All Clear,None
26,Carlos Taylor,MPHIL25-SE-207,Software Engineering,University of Melbourne,Mphil,Australia,Canberra,3rd,D,2,Dropped,"Pakistan Studies, Web Engineering"
27,Amit Schneider,BS22-CS-184,Computer Science,Stanford University,BS,United States,Cambridge,3rd,C,0,All Clear,None
28,Anya Khan,BS21-DS-086,Data Science,University of Alberta,BS,Canada,Waterloo,2nd,D,1,Fail,Data Warehousing
29,Sarah Kim,BS21-ME-214,Mechanical Engineering,American University of Sharjah,BS,United Arab Emirates,Dubai,2nd,A,0,All Clear,None
30,Muhammad Patel,BS22-DA-175,Data Analytics,United Arab Emirates University,BS,United Arab Emirates,Dubai,5th,C,0,All Clear,None
31,David Rodriguez,PHD24-GD-007,Graphic Design,Harvard University,PhD,United States,Atlanta,3rd,B,0,All Clear,None
32,Muhammad Al-Farsi,MS22-DS-052,Data Science,University of Queensland,MS,Australia,Canberra,2nd,D,1,Not Registered,Critical Thinking
33,Anya Johnson,MS23-BA-090,Business Administration,Indian Institute of Technology (IIT) Bombay,MS,India,New Delhi,7th,C,0,All Clear,None
34,Zahra Wilson,BS21-SST-028,Statistics,Karlsruhe Institute of Technology,BS,Germany,Aachen,5th,B,0,All Clear,None
35,Yusuf Martinez,PHD23-EST-012,Economics,University of Sydney,PhD,Australia,Brisbane,2nd,D,1,Dropped,Critical Thinking
36,Ji-woo Kumar,MASTER21-SE-185,Software Engineering,American University of Sharjah,Master,United Arab Emirates,Abu Dhabi,2nd,C,2,Fail,"Agile Software Development, English Composition"
37,Ji-woo Müller,MASTER23-MST-104,Mathematics,University of Alberta,Master,Canada,Vancouver,7th,B,0,All Clear,None
38,Liam Malik,MASTER22-MST-131,Mathematics,University of engineering and Technology (UET) Lahore,Master,Pakistan,Karachi,6th,D,0,All Clear,None
39,Olivia Taylor,PHD22-ME-207,Mechanical Engineering,University of Oxford,PhD,United Kingdom,London,6th,A,0,All Clear,None
40,Ananya Müller,PHD22-CE-184,Civil Engineering,COMSATS University Islamabad,PhD,Pakistan,Islamabad,2nd,D,1,Not Registered,Surveying
41,Sofia Gonzalez,MS21-MST-117,Mathematics,COMSATS University Islamabad,MS,Pakistan,Rawalpindi,8th,A,0,All Clear,None
42,Ji-woo Tan,PHD24-ME-213,Mechanical Engineering,King Saud University,PhD,Saudi Arabia,Riyadh,6th,D,3,Not Registered,"Internship, English Composition, Critical Thinking"
43,Zain Thomas,MS22-CE-070,Civil Engineering,All India Institute of Medical Sciences (AIIMS),MS,India,Kolkata,5th,D,0,All Clear,None
44,Emma Johnson,MS24-DA-105,Data Analytics,United Arab Emirates University,MS,United Arab Emirates,Abu Dhabi,7th,B,0,All Clear,None
45,Yusuf Das,MASTER24-MST-002,Mathematics,King Fahd University of Petroleum and Minerals,Master,Saudi Arabia,Jeddah,7th,A,2,Fail,"Critical Thinking, Complex Variables"
46,Mia Ahmed,MS24-CE-087,Civil Engineering,American University of Sharjah,MS,United Arab Emirates,Abu Dhabi,5th,D,2,Not Registered,"English Composition, Surveying"
47,Sneha Garcia,PHD24-EST-047,Economics,United Arab Emirates University,PhD,United Arab Emirates,Dubai,1st,A,0,All Clear,None
48,Anya Hassan,MPHIL23-CE-214,Civil Engineering,Heidelberg University,Mphil,Germany,Heidelberg,6th,D,0,All Clear,None
49,Syed Gonzalez,MS22-SE-215,Software Engineering,University of the Punjab,MS,Pakistan,Lahore,2nd,A,0,All Clear,None
50,Ravi Singh,BS22-CE-156,Civil Engineering,University of Cambridge,BS,United Kingdom,Cambridge,4th,D,0,All Clear,None
51,Yusuf Das,PHD24-CS-242,Computer Science,Stanford University,PhD,United States,Cambridge,1st,C,1,Dropped,Critical Thinking
52,Omar Kim,PHD24-BA-170,Business Administration,Indian Institute of Technology (IIT) Delhi,PhD,India,Bangalore,2nd,A,0,All Clear,None
53,Sneha Singh,MASTER24-SST-182,Statistics,American University of Sharjah,Master,United Arab Emirates,Sharjah,8th,A,0,All Clear,None
54,Sneha Schmidt,PHD23-EST-083,Economics,University of Edinburgh,PhD,United Kingdom,London,8th,D,1,Dropped,English Composition
55,Mia Kumar,MASTER22-EST-125,Economics,University of Delhi,Master,India,Kolkata,6th,A,0,All Clear,None
56,Ahmad Gonzalez,MPHIL24-EST-126,Economics,McGill University,Mphil,Canada,Montreal,1st,B,0,All Clear,None
57,Daniel Ali,BS22-CE-079,Civil Engineering,University of Delhi,BS,India,Chennai,2nd,C,1,Fail,Islamic Studies / Ethics
58,Priya Wilson,MPHIL22-SE-031,Software Engineering,University of Queensland,Mphil,Australia,Perth,8th,C,1,Fail,Pakistan Studies
59,John Martinez,MASTER23-PST-059,Psychology,University of Cambridge,Master,United Kingdom,Cambridge,5th,C,0,All Clear,None
60,Sofia Thomas,MPHIL22-DA-164,Data Analytics,University of Toronto,Mphil,Canada,Edmonton,1st,A,1,Not Registered,Data Visualization
61,Sophia Jones,MS21-SE-103,Software Engineering,King Fahd University of Petroleum and Minerals,MS,Saudi Arabia,Dhahran,1st,C,0,All Clear,None
62,Ahmad Gonzalez,MS21-SST-143,Statistics,Universiti Teknologi Malaysia,MS,Malaysia,Johor Bahru,3rd,C,2,Withdraw,"Bayesian Statistics, Non-Parametric Statistics"
63,Emma Hernandez,MPHIL23-GD-170,Graphic Design,King Fahd University of Petroleum and Minerals,Mphil,Saudi Arabia,Riyadh,1st,A,0,All Clear,None
64,Liam Schneider,MS24-CS-075,Computer Science,Indian Institute of Technology (IIT) Bombay,MS,India,Kolkata,1st,D,0,All Clear,None
65,Sneha Jones,MS25-CS-058,Computer Science,McGill University,MS,Canada,Waterloo,5th,B,0,All Clear,None
66,Liam Jones,MS24-SST-177,Statistics,University of British Columbia,MS,Canada,Toronto,5th,C,0,All Clear,None
67,Min-jun Khan,MASTER24-ME-189,Mechanical Engineering,Heidelberg University,Master,Germany,Berlin,8th,A,0,All Clear,None
68,Yusuf Khan,PHD22-MST-121,Mathematics,University of Toronto,PhD,Canada,Toronto,1st,C,0,All Clear,None
69,Sophia Patel,MASTER24-EST-086,Economics,King Fahd University of Petroleum and Minerals,Master,Saudi Arabia,Jeddah,8th,A,0,All Clear,None
70,Sofia Khan,MASTER24-GD-023,Graphic Design,Stanford University,Master,United States,Cambridge,5th,D,0,All Clear,None
71,Hamza Martinez,BS25-ME-093,Mechanical Engineering,University of Melbourne,BS,Australia,Brisbane,8th,D,0,All Clear,None
72,Amit Malik,MS24-SST-032,Statistics,King Saud University,MS,Saudi Arabia,Dhahran,5th,B,0,All Clear,None
73,Ahmad Lopez,MPHIL21-DA-119,Data Analytics,Universiti Malaya (UM),Mphil,Malaysia,Johor Bahru,1st,D,1,Withdraw,Communication Skills
74,Noah Lee,MASTER22-GD-099,Graphic Design,University of Alberta,Master,Canada,Montreal,8th,B,0,All Clear,None
75,Aisha Tan,BS23-DA-211,Data Analytics,Universiti Teknologi Malaysia,BS,Malaysia,Johor Bahru,5th,D,0,All Clear,None
76,Carlos Al-Farsi,MASTER23-BA-086,Business Administration,University of Alberta,Master,Canada,Edmonton,3rd,D,0,All Clear,None
77,Daniel Hassan,MS21-SE-082,Software Engineering,Khalifa University,MS,United Arab Emirates,Dubai,4th,D,1,Not Registered,Professional Ethics
78,Liam Brown,PHD25-DA-234,Data Analytics,University College London (UCL),PhD,United Kingdom,Oxford,6th,A,0,All Clear,None
79,Ji-woo Ali,MASTER21-CS-219,Computer Science,University College London (UCL),Master,United Kingdom,Cambridge,5th,C,0,All Clear,None
80,Olivia Thomas,MASTER22-BA-192,Business Administration,Khalifa University,Master,United Arab Emirates,Sharjah,1st,A,0,All Clear,None
81,Fatima Smith,MPHIL23-DA-092,Data Analytics,Massachusetts Institute of Technology (MIT),Mphil,United States,Berkeley,1st,A,0,All Clear,None
82,Jessica Williams,PHD25-GD-223,Graphic Design,University of Cambridge,PhD,United Kingdom,Manchester,3rd,B,0,All Clear,None
